code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002275,桂林三金,-0.233,12.83,12.86,12.98,12.82,12.86,812320,0.15086000000000002,10463599,19.149,2.535,757226.6,690837.2518,2021-03-10
002274,华昌化工,0.0,6.7,6.74,6.8,6.5,6.7,41487414,4.42297,277046225,31.664,2.3890000000000002,638084.31282,628459.4171,2021-03-10
002273,水晶光电,0.171,11.71,11.88,11.92,11.43,11.69,21158604,1.7927400000000002,246974649,26.614,2.598,1425913.036772,1382056.97663,2021-03-10
002272,川润股份,-3.313,4.67,4.83,4.9,4.65,4.83,9802000,2.9943,46357840,30.463,1.461,200809.066,152874.919496,2021-03-10
002271,东方雨虹,3.822,46.72,45.92,47.58,45.1,45.0,33857428,1.9454,1573960652,32.444,5.562,10968628.371264,8131082.214656,2021-03-10
002270,华明装备,-2.016,4.86,4.98,5.01,4.85,4.96,4176550,0.5501100000000001,20488173,24.3,1.426,368990.21718,368983.237248,2021-03-10
002269,美邦服饰,-1.4809999999999999,1.33,1.38,1.4,1.31,1.35,44208971,1.75956,59388947,-4.03,2.5060000000000002,334162.5,334162.5,2021-03-10
002268,卫 士 通,-0.758,17.02,17.3,17.5,17.0,17.15,5250530,0.62751,90447862,91.604,3.213,1440393.414306,1424107.202672,2021-03-10
002267,陕天然气,-1.318,5.99,6.08,6.12,5.97,6.07,2516616,0.2263,15189610,14.904,1.105,666133.191555,666133.191555,2021-03-10
002266,浙富控股,-4.752,4.81,5.05,5.05,4.76,5.05,32680760,1.99571,158996857,60.125,3.597,2582871.857722,787661.029558,2021-03-10
002265,西仪股份,-0.313,6.38,6.61,6.61,6.3,6.4,1669301,0.5469,10656870,319.0,2.2560000000000002,203245.217736,194737.296974,2021-03-10
002264,新 华 都,-0.9590000000000001,4.13,4.19,4.19,4.11,4.17,2830300,0.42592,11722836,-3.721,2.818,282724.88244,274446.96237,2021-03-10
002263,大东南,-1.413,2.79,2.85,2.87,2.77,2.83,37980864,2.02204,106688627,93.0,2.2800000000000002,524062.4679,524057.4459,2021-03-10
002262,恩华药业,-2.098,13.53,13.96,13.98,13.48,13.82,5304396,0.6038600000000001,72302016,20.5,3.321,1363367.892876,1188497.828925,2021-03-10
002261,拓维信息,-1.082,6.4,6.53,6.54,6.38,6.47,8457843,0.8955200000000001,54443830,320.0,2.787,704490.79936,604453.2416,2021-03-10
002260,*ST德奥,0.0,0.0,0.0,0.0,0.0,3.15,0,0.0,0,28.636,2.215,175429.8,175429.8,2021-03-10
002259,*ST升达,0.809,3.74,3.72,3.74,3.66,3.71,1869211,0.24846000000000001,6909894,-2.2560000000000002,-42.212,281370.771858,281370.771858,2021-03-10
002258,利尔化学,0.607,23.21,23.28,23.73,23.1,23.07,9338861,1.78926,218431388,19.88,3.227,1217087.593095,1211425.652855,2021-03-10
002256,*ST兆新,0.719,1.4,1.37,1.46,1.36,1.39,26331500,1.89307,37173613,-9.333,1.712,263537.66208,194732.14558,2021-03-10
002255,*ST海陆,3.084,4.68,4.5,4.73,4.41,4.54,14856100,2.30602,67710119,-2.137,1.434,394182.85374,301500.380844,2021-03-10
002254,泰和新材,-3.879,17.1,18.08,18.14,16.82,17.79,15013134,3.8108400000000002,259175425,48.857,3.86,1170314.59842,673668.63999,2021-03-10
